projectId,group,formatKey,autoStatus,humanStatus,validatorCorrect,notes,previewPath,criticalIssues,warningIssues
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","yandex-rsy","yandex-rsy-300x250","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_yandex-rsy-300x250.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","yandex-rsy","yandex-rsy-728x90","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_yandex-rsy-728x90.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","vk","vk-square","minor","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_vk-square.svg","","image: Image below fold (safe area) | image: outside canvas (6.0%)"
"540212db-5d0e-4b6e-971b-8210ae4076c6","vk","vk-vertical","minor","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_vk-vertical.svg","","image: Image below fold (safe area) | image: outside canvas (6.0%)"
"540212db-5d0e-4b6e-971b-8210ae4076c6","vk","vk-landscape","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_vk-landscape.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","vk","vk-stories","minor","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_vk-stories.svg","","image: Image below fold (safe area) | image: outside canvas (12.0%)"
"540212db-5d0e-4b6e-971b-8210ae4076c6","telegram","telegram-story","minor","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_telegram-story.svg","","image: Image below fold (safe area) | image: outside canvas (12.0%)"
"540212db-5d0e-4b6e-971b-8210ae4076c6","instagram","instagram-story","minor","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_instagram-story.svg","","image: Image below fold (safe area) | image: outside canvas (14.0%)"
"540212db-5d0e-4b6e-971b-8210ae4076c6","wildberries","wb-card","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_wb-card.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","wildberries","wb-infographic","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_wb-infographic.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","ozon","ozon-card","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_ozon-card.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","ozon","ozon-fresh-square","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_ozon-fresh-square.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","yandex-market","yandex-market-card","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_yandex-market-card.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","yandex-market","yandex-market-banner","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_yandex-market-banner.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","yandex-market","yandex-market-stretch","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_yandex-market-stretch.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","yandex-market","yandex-market-vertical","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_yandex-market-vertical.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","avito","avito-listing","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_avito-listing.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","avito","avito-fullscreen","minor","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_avito-fullscreen.svg","","image: Image below fold (safe area) | image: outside canvas (12.0%)"
"540212db-5d0e-4b6e-971b-8210ae4076c6","avito","avito-skyscraper","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_avito-skyscraper.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","yandex-rsy","yandex-rsy-240x400","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_yandex-rsy-240x400.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","yandex-rsy","yandex-rsy-300x250","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_yandex-rsy-300x250.svg","",""
"540212db-5d0e-4b6e-971b-8210ae4076c6","yandex-rsy","yandex-rsy-728x90","ready","","","","experiment/results/previews/540212db-5d0e-4b6e-971b-8210ae4076c6_yandex-rsy-728x90.svg","",""
